Season_End_Year,Squad,Comp,Player,Nation,Pos,Age,Born,MP_Playing,Starts_Playing,Min_Playing,Mins_Per_90_Playing,Gls,Ast,G_minus_PK,PK,PKatt,CrdY,CrdR,Gls_Per,Ast_Per,G+A_Per,G_minus_PK_Per,G+A_minus_PK_Per,Url,xG_Expected,npxG_Expected,xA_Expected,npxG+xA_Expected,xG_Per,xA_Per,xG+xA_Per,npxG_Per,npxG+xA_Per,BO_JK,Rang,Nom,Pays,Club,%,Squad_JK,Nation_JK,winner_Bundesliga,winner_C3,finalist_C3,winner_UCL,finalist_UCL,winner_Club WC,finalist_Club WC,winner_Copa America,finalist_Copa America,winner_Euro,finalist_Euro,winner_Liga,winner_Ligue 1,winner_PL,winner_Serie A,winner_WC,finalist_WC
1996,Blackburn,Premier League,Alan Shearer,ENG,FW,24.0,1970.0,35.0,35.0,3150.0,35.0,31.0,7.0,28.0,3.0,3.0,4.0,0.0,0.89,0.2,1.09,0.8,1.0,https://fbref.com/en/players/438b3a51/Alan-Shearer,,,,,,,,,,1996Alan Shearer,3,Alan Shearer,Angleterre,Blackburn Rovers / Newcastle United,13.986928104575163,1996Blackburn,1996ENG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,Juventus,Serie A,Alessandro Del Piero,ITA,"FW,MF",20.0,1974.0,29.0,25.0,2111.0,23.5,6.0,,6.0,0.0,,3.0,0.0,0.26,,,0.26,,https://fbref.com/en/players/80bc263c/Alessandro-Del-Piero,,,,,,,,,,1996Alessandro Del Piero,4,Alessandro Del Piero,Italie,Juventus,9.019607843137255,1996Juventus,1996ITA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,Bayern Munich,Bundesliga,Jürgen Klinsmann,GER,FW,31.0,1964.0,32.0,32.0,2722.0,30.2,16.0,,13.0,3.0,,0.0,0.0,0.53,,,0.43,,https://fbref.com/en/players/7f97bf11/Jurgen-Klinsmann,,,,,,,,,,1996Jürgen Klinsmann,5,Jürgen Klinsmann,Allemagne,Bayern Munich,7.8431372549019605,1996Bayern Munich,1996GER,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1996,Dortmund,Bundesliga,Matthias Sammer,GER,"DF,MF",27.0,1967.0,22.0,22.0,1965.0,21.8,3.0,,3.0,0.0,,10.0,0.0,0.14,,,0.14,,https://fbref.com/en/players/d8ae851f/Matthias-Sammer,,,,,,,,,,1996Matthias Sammer,1,Matthias Sammer,Allemagne,Borussia Dortmund,18.823529411764707,1996Dortmund,1996GER,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1996,Blackburn,Premier League,Alan Shearer,ENG,FW,24.0,1970.0,35.0,35.0,3150.0,35.0,31.0,7.0,28.0,3.0,3.0,4.0,0.0,0.89,0.2,1.09,0.8,1.0,https://fbref.com/en/players/438b3a51/Alan-Shearer,,,,,,,,,,1996Alan Shearer,3,Alan Shearer,Angleterre,Blackburn Rovers / Newcastle United,13.986928104575163,1996Blackburn,1996ENG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,Juventus,Serie A,Alessandro Del Piero,ITA,"FW,MF",20.0,1974.0,29.0,25.0,2111.0,23.5,6.0,,6.0,0.0,,3.0,0.0,0.26,,,0.26,,https://fbref.com/en/players/80bc263c/Alessandro-Del-Piero,,,,,,,,,,1996Alessandro Del Piero,4,Alessandro Del Piero,Italie,Juventus,9.019607843137255,1996Juventus,1996ITA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,Bayern Munich,Bundesliga,Jürgen Klinsmann,GER,FW,31.0,1964.0,32.0,32.0,2722.0,30.2,16.0,,13.0,3.0,,0.0,0.0,0.53,,,0.43,,https://fbref.com/en/players/7f97bf11/Jurgen-Klinsmann,,,,,,,,,,1996Jürgen Klinsmann,5,Jürgen Klinsmann,Allemagne,Bayern Munich,7.8431372549019605,1996Bayern Munich,1996GER,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1996,Sevilla,La Liga,Davor Šuker,CRO,FW,27.0,1968.0,32.0,31.0,2629.0,29.2,16.0,,14.0,2.0,,11.0,3.0,0.55,,,0.48,,https://fbref.com/en/players/f3580cae/Davor-Suker,,,,,,,,,,1996Davor Šuker,6,Davor Šuker,Croatie,FC Séville / Real Madrid,4.967320261437909,1996Sevilla,1996CRO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,Milan,Serie A,Marcel Desailly,FRA,"DF,MF",26.0,1968.0,32.0,32.0,2872.0,31.9,2.0,,2.0,0.0,,5.0,0.0,0.06,,,0.06,,https://fbref.com/en/players/9dfb97aa/Marcel-Desailly,,,,,,,,,,1996Marcel Desailly,8,Marcel Desailly,France,Milan AC,2.8758169934640523,1996Milan,1996FRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1996,Paris S-G,Division 1,Youri Djorkaeff,FRA,"FW,MF",27.0,1968.0,35.0,33.0,2898.0,32.2,13.0,,12.0,1.0,,5.0,0.0,0.4,,,0.37,,https://fbref.com/en/players/e9f1bedd/Youri-Djorkaeff,,,,,,,,,,1996Youri Djorkaeff,9,Youri Djorkaeff,France,PSG /Inter Milan,2.6143790849673203,1996Paris S-G,1996FRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
